owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,npm_downloads_start,npm_downloads_end,npm_downloads_growth_rate,npm_downloads_growth_percentile,npm_downloads_final_weight,pypi_downloads_start,pypi_downloads_end,pypi_downloads_growth_rate,pypi_downloads_growth_percentile,pypi_downloads_final_weight,cargo_downloads_start,cargo_downloads_end,cargo_downloads_growth_rate,cargo_downloads_growth_percentile,cargo_downloads_final_weight
O_kgDODg3QlQ,bubblelabai,Bubble Lab,https://github.com/bubblelabai,bubblelab.ai,Build Agentic Workflows with Full Observality and Exportablilty,https://avatars.githubusercontent.com/u/235786389?v=4,2026-01-01,2026-04-01,955.0,1074.0,0.1246073298429319,33.63540569020021,0.2794421241982212,14.0,15.0,0.0714285714285714,48.6048794167134,0.2710039861278984,5498.0,139838.0,24.434339759912696,99.3840847499384,0.4495538896738804,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjEzMDg0MQ==,magicalpanda,Magical Panda Software,https://github.com/magicalpanda,magicalpanda.com,,https://avatars.githubusercontent.com/u/130841?v=4,2026-01-01,2026-04-01,0.0,10778.0,106.78,99.85950122936424,1.0,,,,,,,,,,,,,,,,,,,,
O_kgDOD2SkHg,rtk-ai,rtk-ai,https://github.com/rtk-ai,https://www.rtk-ai.app,rtk tools to optimise your vibecoding,https://avatars.githubusercontent.com/u/258253854?v=4,2026-01-01,2026-04-01,0.0,17684.0,175.84,99.94380049174568,0.5400551985128197,0.0,37.0,6.4,97.32192933258553,0.4599448014871803,0.0,691.0,-0.309,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjEyNTE2NDUz,lambci,LambCI,https://github.com/lambci,lambci.org,Serverless continuous integration,https://avatars.githubusercontent.com/u/12516453?v=4,2026-01-01,2026-04-01,0.0,10813.0,107.13,99.86301369863013,0.9809322722903412,0.0,1.0,-0.8,,,9023.0,9186.0,0.0180649451401972,10.347376201034738,0.019067727709659,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjE4NDAwMTMw,redux-form,Redux Form,https://github.com/redux-form,https://redux-form.com,,https://avatars.githubusercontent.com/u/18400130?v=4,2026-01-01,2026-04-01,0.0,12561.0,124.61,99.8876009834914,0.8404217889097158,0.0,5.0,0.0,19.73499719573752,0.0091055086004178,155901553.0,160196943.0,0.0275519384980084,18.551367331855136,0.1504727024898664,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjE3NzE2Nzg0,dropseed,Dropseed,https://github.com/dropseed,https://www.dropseed.dev,Tools for building better software.,https://avatars.githubusercontent.com/u/17716784?v=4,2026-01-01,2026-04-01,0.0,654.0,5.54,87.46048472075869,0.4002536629536664,0.0,243.0,47.6,99.84576556365676,0.5997463370463336,,,,,,,,,,,,,,,
O_kgDODhfrgg,s3s-project,s3s-project,https://github.com/s3s-project,,Building the foundation of Object Storage Services in the Rust ecosystem.,https://avatars.githubusercontent.com/u/236448642?v=4,2026-01-01,2026-04-01,240.0,269.0,0.1208333333333333,33.41587636108184,0.1040353377998356,26.0,30.0,0.1538461538461538,57.28407178911946,0.3366145461599455,,,,,,,,,,,327860.0,1125178.0,2.4318855609101444,99.375,0.5593501160402188
MDEyOk9yZ2FuaXphdGlvbjIzMTMxMDI2,ReactNativeNews,React Native News,https://github.com/ReactNativeNews,http://reactnative.cc/,Managing all news React Native - Including the React Native Newsletter,https://avatars.githubusercontent.com/u/23131026?v=4,2026-01-01,2026-04-01,0.0,10491.0,103.91,99.85247629083246,0.9892727197339524,0.0,5.0,0.0,19.73499719573752,0.0107272802660474,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjYyMjI4Mzc=,rolling-scopes,Rolling Scopes,https://github.com/rolling-scopes,https://rollingscopes.com/,Front-end/JavaScript developer community,https://avatars.githubusercontent.com/u/6222837?v=4,2026-01-01,2026-04-01,0.0,10372.0,102.72,99.84193888303476,1.0,,5.0,,,,,,,,,,,,,,,,,,
MDEyOk9yZ2FuaXphdGlvbjQ5NTk0OTUw,cu-ecen-aeld,CU Boulder AESD ECEN 5713 ,https://github.com/cu-ecen-aeld,https://sites.google.com/colorado.edu/ecen5713/home,Course Github Organization for University of Colorado at Boulder ECEN 5713 Advanced Embedded Software Development (previously 5013-002),https://avatars.githubusercontent.com/u/49594950?v=4,2026-01-01,2026-04-01,45.0,321.0,2.21,75.00175623463295,0.2776534584316412,12.0,484.0,39.333333333333336,99.80370162647225,0.7223465415683588,,,,,,,,,,,,,,,
